기간,구분,평균,평균최고,극점최고,평균최저,극점최저,강수량(mm),평균,최소,평균해면기압(hPa),이슬점온도(℃),평균운량(10%),일조시간(hr),평균풍속,최대풍속
2003.06 ,서울시,21.5,25.8,31.1,18,14.4,156,69,16,1006.1,16.2,6.7,101.8,2,6.9
2003.07 ,서울시,23.8,27.7,31.4,20.7,18.3,469.8,75,34,1006.7,19,7.6,86.6,1.8,7
2003.08 ,서울시,24.1,27.6,32.2,21.3,16.6,684.2,77,30,1008.7,19.9,7.6,83,1.4,6.4
2003.09 ,서울시,20.9,24.9,28.7,17.5,13.8,258.2,72,19,1013.8,15.7,6.3,100.4,1.1,6.2
2003.10 ,서울시,13.9,19,26,9.6,2.7,41.5,61,19,1018.4,5.8,3.4,195.7,2,8.6
2003.11 ,서울시,9.5,13.5,21.3,5.9,-3.2,69.3,66,13,1022.9,2.7,5.4,114,2,8
2003.12 ,서울시,0.7,4.4,12,-2.8,-8.1,6.9,59,16,1024.7,-6.2,3.1,180.1,2.4,7.6
2004.01 ,서울시,-1.5,2.1,8.1,-4.9,-16.7,19.8,59,16,1024.3,-9.3,3.3,176.4,2.1,7.8
2004.02 ,서울시,2.3,6.9,18.7,-1.6,-7.8,54.6,56,11,1019.9,-6.6,3.5,186.1,2.9,11.1
2004.03 ,서울시,6.3,11.1,18.7,2.1,-5.6,27.6,49,11,1020,-4.9,3.9,221.6,2.7,9.2
2004.04 ,서울시,13.1,18.3,27.3,8.5,2.7,74.1,51,12,1013.8,2,3.9,210.3,2.7,7.8
2004.05 ,서울시,17.6,22.2,27.6,13.7,8.8,168.5,68,12,1009.4,10.9,5.8,166.9,2.6,9.1
2004.06 ,서울시,23.2,27.7,32.5,19.3,14.6,138.1,64,17,1009.6,15.2,6.4,151.5,2.1,6.8
2004.07 ,서울시,24.8,27.7,34.5,22.3,19.5,510.7,82,44,1006.9,21.3,7.8,85.4,2.3,7.9
2004.08 ,서울시,26.1,30.2,36.2,22.8,18.7,193.3,70,22,1007.9,20.1,6,147.8,2.4,7.1
2004.09 ,서울시,21.7,26.3,31.3,17.8,12.8,198.7,69,22,1014.7,15.3,5.5,168.2,2.2,8
2004.10 ,서울시,15.2,20.8,25.6,10.3,5.3,6.5,54,14,1021,5.5,2.4,252.6,2,6.4
2004.11 ,서울시,9.1,13.4,21.5,5.3,0.2,80,66,21,1022.9,2.8,3.7,156.7,2,9.7
2004.12 ,서울시,1.9,5.8,16.2,-1.4,-8.3,27.2,56,15,1025.2,-6.5,3,193.1,2.2,6.6
2005.01 ,서울시,-2.5,1.5,7.3,-6.2,-11,4.5,52,12,1023.2,-11.9,2.7,191.5,2.4,7.5
2005.02 ,서울시,-1.9,2.2,10.5,-5.5,-13.1,17.2,49,15,1024.5,-12.2,3.5,177.8,2.8,11
2005.03 ,서울시,4.1,8.8,17.6,0.2,-6.5,12.5,54,13,1019.6,-5.1,3.8,221.9,2.9,9.5
2005.04 ,서울시,13.2,18.1,29.8,8.9,4.1,94.7,53,9,1014,2.9,4.3,199.5,3,10.4
2005.05 ,서울시,17.7,22.9,30.2,13,6.3,85.8,55,8,1010.4,7.4,4.1,235.3,2.4,9.3
2005.06 ,서울시,22.7,27.3,32,19.1,15.5,168.5,69,26,1005.7,16.4,6.3,138.3,2.4,8.8
2005.07 ,서울시,25.3,28.8,34.2,22.7,18.3,269.4,76,44,1006.2,20.7,7.2,79.4,2.2,8
2005.08 ,서울시,25.1,28.7,35,22.4,16.5,285,75,30,1008.5,20.3,6.9,103.1,2.6,8.2
2005.09 ,서울시,21.8,25.7,30.8,18.6,13.8,313.3,71,30,1015.2,16,6.4,113.7,2.3,8.4
2005.10 ,서울시,14.7,19.4,24.9,10.7,3,52.6,65,17,1020,7.7,3.4,200,1.7,5.4
2005.11 ,서울시,8.6,12.9,21.8,4.6,-1.1,44.6,55,10,1020.6,-0.6,2.9,172.5,2.2,8.4
2005.12 ,서울시,-3.9,-0.1,11.1,-7.4,-14,10.3,51,18,1025.2,-13.6,2.2,204.1,2.5,7.6
2006.01 ,서울시,-0.2,3.4,9.3,-3.3,-10.1,34.3,57,18,1025.4,-8.6,4,161.1,2.1,6.1
2006.02 ,서울시,0.1,4.2,11.5,-4,-14.1,15.7,53,12,1025.9,-9.6,4.3,172.6,2.6,8.1
2006.03 ,서울시,5.2,9.9,17.2,0.9,-6.9,14,51,8,1016.9,-5.4,4.2,201.9,2.9,10.9
