date,Year,Month,heatindex
20060719,2006 여름,7,21.48
20060720,2006 여름,7,21.97
20060721,2006 여름,7,21.79
20060722,2006 여름,7,23.49
20060723,2006 여름,7,23.31
20060724,2006 여름,7,23.48
20060725,2006 여름,7,24.66
20060726,2006 여름,7,22.27
20060727,2006 여름,7,20.94
20060728,2006 여름,7,21.7
20060729,2006 여름,7,24.29
20060730,2006 여름,7,26.08
20060731,2006 여름,7,26.45
20060801,2006 여름,8,29.81
20060802,2006 여름,8,30.5
20060803,2006 여름,8,31.18
20060804,2006 여름,8,32.71
20060805,2006 여름,8,32.5
20060806,2006 여름,8,30.73
20060807,2006 여름,8,29.6
20060808,2006 여름,8,31.91
20060809,2006 여름,8,32.89
20060810,2006 여름,8,30.74
20060811,2006 여름,8,28.18
20060812,2006 여름,8,29.44
20060813,2006 여름,8,31.77
20060814,2006 여름,8,33.38
20060815,2006 여름,8,32.64
20060816,2006 여름,8,32.42
20060817,2006 여름,8,28.82
20060818,2006 여름,8,26.5
20060819,2006 여름,8,25
20060820,2006 여름,8,23.35
20060821,2006 여름,8,28.16
20060822,2006 여름,8,29.97
20060823,2006 여름,8,28.9
20060824,2006 여름,8,28.53
20060825,2006 여름,8,25.17
20060826,2006 여름,8,25.28
20060827,2006 여름,8,24.25
20060828,2006 여름,8,25.44
20060829,2006 여름,8,23.82
20060830,2006 여름,8,25.17
20060831,2006 여름,8,25.38
20070601,2007 여름,6,20.42
20070602,2007 여름,6,23.03
20070603,2007 여름,6,23.83
20070604,2007 여름,6,22.76
20070605,2007 여름,6,19.89
20070606,2007 여름,6,20.15
20070607,2007 여름,6,19.17
20070608,2007 여름,6,19.63
20070609,2007 여름,6,20.28
20070610,2007 여름,6,23.3
20070611,2007 여름,6,24.23
20070612,2007 여름,6,24.44
20070613,2007 여름,6,23.79
20070614,2007 여름,6,23.51
20070615,2007 여름,6,23.08
20070616,2007 여름,6,25.39
20070617,2007 여름,6,25.45
20070618,2007 여름,6,26.48
20070619,2007 여름,6,26.35
20070620,2007 여름,6,24.3
20070621,2007 여름,6,21.39
20070622,2007 여름,6,24.9
20070623,2007 여름,6,25
20070624,2007 여름,6,21.23
20070625,2007 여름,6,21.43
20070626,2007 여름,6,25.29
20070627,2007 여름,6,25.68
20070628,2007 여름,6,24.76
20070629,2007 여름,6,21.96
20070630,2007 여름,6,24.15
20070701,2007 여름,7,20.02
20070702,2007 여름,7,20.38
20070703,2007 여름,7,23.47
20070704,2007 여름,7,22.62
20070705,2007 여름,7,22.5
20070706,2007 여름,7,25.95
20070707,2007 여름,7,26.43
20070708,2007 여름,7,25.83
20070709,2007 여름,7,26.35
20070710,2007 여름,7,22.43
20070711,2007 여름,7,19.02
20070712,2007 여름,7,23.26
20070713,2007 여름,7,25.58
20070714,2007 여름,7,24.13
20070715,2007 여름,7,24.5
20070716,2007 여름,7,20.38
20070717,2007 여름,7,22.3
20070718,2007 여름,7,25.55
20070719,2007 여름,7,24.35
20070720,2007 여름,7,25.95
20070721,2007 여름,7,23.88
20070722,2007 여름,7,24.58
20070723,2007 여름,7,25.3
20070724,2007 여름,7,23.63
20070725,2007 여름,7,24.48
20070726,2007 여름,7,26.47
20070727,2007 여름,7,29.25
20070728,2007 여름,7,25.13
20070729,2007 여름,7,24.67
20070730,2007 여름,7,26.24
20070731,2007 여름,7,26.28
20070801,2007 여름,8,29.66
20070802,2007 여름,8,31.3
20070803,2007 여름,8,30.48
20070804,2007 여름,8,24.69
20070805,2007 여름,8,24.73
20070806,2007 여름,8,25.73
20070807,2007 여름,8,23.76
20070808,2007 여름,8,25.14
20070809,2007 여름,8,25.92
20070810,2007 여름,8,31.12
20070811,2007 여름,8,31.64
20070812,2007 여름,8,26.44
20070813,2007 여름,8,30.49
20070814,2007 여름,8,25.95
20070815,2007 여름,8,26.29
20070816,2007 여름,8,30.12
20070817,2007 여름,8,30.32
20070818,2007 여름,8,29.09
20070819,2007 여름,8,29.56
20070820,2007 여름,8,29.32
20070821,2007 여름,8,30.49
20070822,2007 여름,8,29.97
20070823,2007 여름,8,28.13
20070824,2007 여름,8,28.64
20070825,2007 여름,8,31.37
20070826,2007 여름,8,30.91
20070827,2007 여름,8,29.79
20070828,2007 여름,8,28.38
20070829,2007 여름,8,23.58
20070830,2007 여름,8,23.1
20070831,2007 여름,8,23.62
20080601,2008 여름,6,21.25
20080602,2008 여름,6,19.25
20080603,2008 여름,6,18.68
20080604,2008 여름,6,16.97
20080605,2008 여름,6,14.96
20080606,2008 여름,6,16.6
20080607,2008 여름,6,18.86
20080608,2008 여름,6,18.96
20080609,2008 여름,6,20.74
20080610,2008 여름,6,22.7
20080611,2008 여름,6,24.4
20080612,2008 여름,6,23.68
20080613,2008 여름,6,21.48
20080614,2008 여름,6,23.88
20080615,2008 여름,6,22.6
20080616,2008 여름,6,22.51
20080617,2008 여름,6,22.98
20080618,2008 여름,6,19.52
20080619,2008 여름,6,20.16
20080620,2008 여름,6,23.96
20080621,2008 여름,6,24.47
20080622,2008 여름,6,22.76
20080623,2008 여름,6,22.7
20080624,2008 여름,6,23.35
20080625,2008 여름,6,23.62
20080626,2008 여름,6,23.46
20080627,2008 여름,6,23.43
20080628,2008 여름,6,22.9
20080629,2008 여름,6,22.19
20080630,2008 여름,6,22.44
20080701,2008 여름,7,24.53
20080702,2008 여름,7,22.64
20080703,2008 여름,7,21.95
20080704,2008 여름,7,24.11
20080705,2008 여름,7,24.4
20080706,2008 여름,7,25.63
20080707,2008 여름,7,24.64
20080708,2008 여름,7,29.99
20080709,2008 여름,7,29.57
20080710,2008 여름,7,26.35
